City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.91,50,0,19.57,clear sky
1,Beringovskiy,RU,63.05,179.3167,10.8,98,100,7.31,overcast clouds
2,Yellowknife,CA,62.456,-114.3525,21.72,100,100,5.99,light snow
3,Rikitea,PF,-23.1203,-134.9692,74.37,87,29,18.01,scattered clouds
4,Tasiilaq,GL,65.6145,-37.6368,32.45,86,100,28.83,light snow
5,Carnarvon,AU,-24.8667,113.6333,74.1,29,0,16.06,clear sky
6,Kalmunai,LK,7.4167,81.8167,76.62,84,100,3.09,overcast clouds
7,Severo-Kurilsk,RU,50.6789,156.125,35.91,64,99,18.95,overcast clouds
8,Hobart,AU,-42.8794,147.3294,55.26,87,75,5.75,broken clouds
9,Biak,ID,-0.9131,122.8766,83.95,67,99,2.17,overcast clouds
10,Port Keats,AU,-14.25,129.55,90.59,58,68,11.14,broken clouds
11,Bethel,US,41.3712,-73.414,59.65,77,83,3.29,broken clouds
12,Cherskiy,RU,68.75,161.3,-11.99,96,100,10.49,overcast clouds
13,Chokurdakh,RU,70.6333,147.9167,-24.81,100,98,7.29,overcast clouds
14,Preobrazheniye,RU,42.9019,133.9064,39.31,62,91,8.32,overcast clouds
15,Vuktyl,RU,63.8567,57.3094,12.45,90,100,7.63,overcast clouds
16,Kapaa,US,22.0752,-159.319,80.58,82,51,4.0,light rain
17,Busselton,AU,-33.65,115.3333,63.19,40,4,8.08,clear sky
18,Saint-Philippe,RE,-21.3585,55.7679,69.39,73,0,4.09,clear sky
19,Shenxian,CN,36.2411,115.6672,46.2,40,100,7.74,overcast clouds
20,Kavaratti,IN,10.5669,72.642,79.77,78,100,7.83,moderate rain
21,Ribeira Grande,PT,38.5167,-28.7,57.78,75,100,3.0,overcast clouds
22,Khandyga,RU,62.6667,135.6,2.5,96,100,7.38,light snow
23,Fort Frances,CA,48.5999,-93.4003,21.42,68,100,3.44,overcast clouds
24,Maceio,BR,-9.6658,-35.7353,74.64,94,40,5.75,scattered clouds
25,Ushuaia,AR,-54.8,-68.3,53.26,47,0,11.5,clear sky
26,Gat,IL,31.61,34.7642,69.78,28,0,5.79,clear sky
27,Castro,BR,-24.7911,-50.0119,60.37,96,99,4.63,moderate rain
28,Cape Town,ZA,-33.9258,18.4232,60.89,88,0,3.44,clear sky
29,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.98,90,28,18.21,scattered clouds
30,Pisco,PE,-13.7,-76.2167,64.02,88,0,11.5,clear sky
31,Auki,SB,-8.7676,160.7034,81.84,79,100,0.6,overcast clouds
32,Nemuro,JP,43.3236,145.575,57.16,93,99,22.24,overcast clouds
33,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,75,10.36,broken clouds
34,Albany,US,42.6001,-73.9662,50.67,75,97,6.53,overcast clouds
35,Codrington,AU,-38.2667,141.9667,68.14,87,55,10.54,broken clouds
36,Kodiak,US,57.79,-152.4072,39.58,82,40,14.92,scattered clouds
37,Barrow,US,71.2906,-156.7887,12.22,92,75,6.91,light snow
38,Esperance,AU,-33.8667,121.9,57.65,64,94,17.94,overcast clouds
39,Butaritari,KI,3.0707,172.7902,80.51,71,72,13.78,broken clouds
40,Nabire,ID,-3.3667,135.4833,85.32,67,97,3.18,overcast clouds
41,Ponta Do Sol,PT,32.6667,-17.1,68.63,82,100,0.58,overcast clouds
42,Thompson,CA,55.7435,-97.8558,-0.24,85,75,2.3,light snow
43,Koryazhma,RU,61.3143,47.1691,37.56,97,100,7.81,overcast clouds
44,Narsaq,GL,60.9167,-46.05,20.25,77,100,3.71,overcast clouds
45,Vaini,TO,-21.2,-175.2,77.05,85,82,21.94,light rain
46,Port Alfred,ZA,-33.5906,26.891,60.19,91,88,4.0,overcast clouds
47,Khatanga,RU,71.9667,102.5,-25.11,98,97,7.87,overcast clouds
48,Lincoln,US,40.8,-96.667,21.29,77,0,1.99,clear sky
49,Tuatapere,NZ,-46.1333,167.6833,51.04,94,100,3.65,overcast clouds
50,Kuryk,KZ,43.2,51.65,51.66,80,29,14.23,scattered clouds
51,Dikson,RU,73.5069,80.5464,-10.32,99,50,4.88,scattered clouds
52,Lorengau,PG,-2.0226,147.2712,83.62,75,100,5.95,overcast clouds
53,Nikolskoye,RU,59.7035,30.7861,48.09,66,58,15.17,broken clouds
54,Hermanus,ZA,-34.4187,19.2345,57.79,85,7,8.55,light rain
55,East London,ZA,-33.0153,27.9116,66.49,75,100,20.09,overcast clouds
56,Bredasdorp,ZA,-34.5322,20.0403,59.29,82,39,7.81,scattered clouds
57,Porto Recanati,IT,43.4365,13.6613,56.12,62,6,3.18,clear sky
58,Port Moresby,PG,-9.4431,147.1797,87.22,66,40,11.5,scattered clouds
59,Jamestown,US,42.097,-79.2353,37.02,73,100,8.99,overcast clouds
60,Hilo,US,19.7297,-155.09,80.11,74,18,3.0,few clouds
61,Zhuhai,CN,22.2769,113.5678,78.85,88,3,6.91,mist
62,Avarua,CK,-21.2078,-159.775,77.05,57,20,11.5,few clouds
63,Adelanto,US,34.5828,-117.4092,53.71,46,0,8.88,clear sky
64,San Patricio,US,28.017,-97.5169,60.84,45,9,10.85,clear sky
65,Innisfail,AU,-17.5333,146.0333,83.61,55,16,7.87,few clouds
66,Sitka,US,57.0531,-135.33,42.64,96,100,9.57,moderate rain
67,Kirovskiy,RU,45.0917,133.5136,25.32,90,97,11.23,overcast clouds
68,The Valley,AI,18.217,-63.0578,81.82,76,3,16.26,clear sky
69,Rennes,FR,48.1667,-1.6667,52.57,100,55,11.5,broken clouds
70,Geraldton,AU,-28.7667,114.6,73.81,33,0,12.66,clear sky
71,Qaanaaq,GL,77.484,-69.3632,-0.92,66,21,3.02,few clouds
72,Port Blair,IN,11.6667,92.75,81.84,73,100,9.66,overcast clouds
73,La Baule-Escoublac,FR,47.2922,-2.364,53.26,93,0,6.91,clear sky
74,Jinchang,CN,38.4953,102.1739,37.96,38,100,1.72,overcast clouds
75,Viedma,AR,-40.8135,-62.9967,52.11,91,99,7.11,overcast clouds
76,Pecos,US,31.4229,-103.4932,48.31,34,0,6.91,clear sky
77,Porto Novo,BJ,6.4965,2.6036,77.07,88,100,4.7,moderate rain
78,Bluff,NZ,-46.6,168.3333,50.45,84,100,12.17,overcast clouds
79,Pevek,RU,69.7008,170.3133,-1.79,96,99,4.16,overcast clouds
80,Binga,ZW,-17.6203,27.3414,72.63,80,100,5.91,overcast clouds
81,Port-Gentil,GA,-0.7193,8.7815,76.3,88,100,11.9,light rain
82,Aksu,CN,41.1231,80.2644,36.07,48,0,1.74,clear sky
83,Yalvac,TR,38.2956,31.1778,42.84,77,12,4.99,few clouds
84,Baykit,RU,61.67,96.37,14.85,95,100,3.6,light snow
85,Upernavik,GL,72.7868,-56.1549,11.91,82,26,11.16,scattered clouds
86,Zhovtneve,UA,50.6637,24.2492,46.17,82,100,4.65,overcast clouds
87,Sao Filipe,CV,14.8961,-24.4956,76.41,72,15,5.93,few clouds
88,Longyearbyen,SJ,78.2186,15.6401,31.84,74,40,10.36,scattered clouds
89,Ancud,CL,-41.8697,-73.8203,52.14,90,100,6.06,light rain
90,Leningradskiy,RU,69.3833,178.4167,6.01,85,100,2.15,overcast clouds
91,Port Elizabeth,ZA,-33.918,25.5701,63.32,79,0,17.27,clear sky
92,Puerto Ayora,EC,-0.7393,-90.3518,69.55,85,75,5.99,broken clouds
93,Fortuna,US,40.5982,-124.1573,50.67,92,100,0.0,overcast clouds
94,Moyale,KE,3.5167,39.0584,65.77,71,69,5.32,broken clouds
95,Karaton,ID,-6.3424,106.1045,79.09,83,100,2.35,overcast clouds
96,Lebu,CL,-37.6167,-73.65,52.07,90,14,9.26,few clouds
97,Thinadhoo,MV,0.5333,72.9333,81.72,75,83,17.52,broken clouds
98,Mar Del Plata,AR,-38.0023,-57.5575,66.09,95,100,5.75,light rain
99,Gobabis,NA,-22.45,18.9667,63.39,20,0,13.53,clear sky
100,Port Augusta,AU,-32.5,137.7667,75.13,29,94,20.38,overcast clouds
